member_id,member,state_district,ticker,instrument,direction,opened_at,closed_or_marked_at,status,holding_days,holding_return_pct,spy_return_pct,excess_return_pct,return_90d_pct,excess_90d_pct,filing_id,source_url
josh-gottheimer,Josh Gottheimer,NJ05,PM,Stock,Long,2017-02-21,2018-12-12,Closed,659,-13.5,15.9,-29.4,12.2,10.5,20009955,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009955.pdf
josh-gottheimer,Josh Gottheimer,NJ05,PM,Stock,Long,2019-01-11,2021-02-11,Closed,762,38.7,56.6,-17.9,24.6,12.8,20011063,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011063.pdf
josh-gottheimer,Josh Gottheimer,NJ05,URI,Stock,Long,2017-02-21,2026-09-11,Open · latest mark,3489,696.9,275.3,421.6,-14.2,-15.9,20009955,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009955.pdf
josh-gottheimer,Josh Gottheimer,NJ05,WMT,Stock,Long,2024-12-18,2026-09-11,Residual · latest mark,632,16.4,33,-16.7,-8.5,-4.5,20026533,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026533.pdf
josh-gottheimer,Josh Gottheimer,NJ05,LUV,Stock,Long,2017-03-09,2026-09-11,Residual · latest mark,3473,-21.5,274.7,-296.2,6.6,3.3,20009955,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009955.pdf
david-joyce,David P. Joyce,OH14,QQQ,Stock,Long,2018-03-29,2018-12-11,Closed,257,2.6,1.3,1.3,6.2,3.4,20008517,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20008517.pdf
david-joyce,David P. Joyce,OH14,MLPI,Stock,Long,2017-03-17,2026-09-11,Open · latest mark,267,21,272.8,-251.8,,,20008517,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20008517.pdf
gary-palmer,Gary Palmer,AL06,AMGN,Stock,Long,2017-04-04,2026-09-11,Open · latest mark,3447,205.2,275.3,-70.1,5.9,2.5,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,AAPL,Stock,Long,2017-04-04,2017-11-06,Closed,216,21.3,11,10.3,-0.5,-3.8,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,AAPL,Stock,Long,2018-07-12,2026-09-11,Open · latest mark,2983,638.9,209,429.9,13.7,13.6,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,T,Stock,Long,2017-04-04,2018-10-05,Closed,549,-9.3,25.7,-35,-7.1,-10.5,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
