member_id,member,state_district,ticker,instrument,direction,opened_at,closed_or_marked_at,status,holding_days,holding_return_pct,spy_return_pct,excess_return_pct,return_90d_pct,excess_90d_pct,filing_id,source_url
gary-palmer,Gary Palmer,AL06,STT,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,213.4,273.6,-60.1,16.2,12.9,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,SYY,Stock,Long,2017-04-04,2018-10-05,Closed,549,45.4,25.7,19.7,-1.4,-4.8,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,TLRD,Stock,Long,2017-04-04,2026-09-15,No price match,,,,,,,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,TGT,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,294,273.6,20.4,-0.4,-3.7,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,ANDE,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,130.4,273.6,-143.2,-9.1,-12.4,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,TSN,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,10.4,273.6,-263.2,1.2,-2.1,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,UAL,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,56.2,273.6,-217.4,7.6,4.3,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,VMW,Stock,Long,2017-04-04,2018-10-05,No price match,,,,,,,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,WMT,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,429.3,273.6,155.7,5.4,2,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,CAH,Stock,Long,2017-04-10,2017-05-08,Closed,28,-12.6,1.8,-14.5,-5.8,-9.2,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
josh-gottheimer,Josh Gottheimer,NJ05,VRTX,Stock,Long,2017-04-13,2019-09-19,Closed,889,54.8,35.2,19.6,15.5,10,20009955,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009955.pdf
gary-palmer,Gary Palmer,AL06,TMUS,Stock,Long,2017-04-17,2026-09-14,Open · latest mark,3437,196.2,275,-78.8,-5.7,-10.9,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
richard-allen,Richard W. Allen,GA12,COST,Stock,Long,2017-04-27,2026-09-14,Open · latest mark,3427,509.5,268.7,240.8,-10.6,-14.8,20023082,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023082.pdf
josh-gottheimer,Josh Gottheimer,NJ05,GE,Stock,Long,2018-01-18,2018-02-07,Closed,20,-9.1,-4.1,-5,-17.9,-15.1,20010354,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010354.pdf
josh-gottheimer,Josh Gottheimer,NJ05,TGT,Stock,Long,2017-05-01,2023-09-26,Closed,2339,133.3,99.5,33.9,1.7,-2.2,20009955,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009955.pdf
josh-gottheimer,Josh Gottheimer,NJ05,CGNX,Stock,Long,2018-02-14,2026-09-14,Open · latest mark,3134,11.1,221.5,-210.4,-18.3,-19.3,20010354,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010354.pdf
josh-gottheimer,Josh Gottheimer,NJ05,SNHY,Stock,Long,2017-05-05,2026-09-15,No price match,,,,,,,20009955,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009955.pdf
josh-gottheimer,Josh Gottheimer,NJ05,UNH,Stock,Long,2017-05-15,2019-09-27,Closed,865,30.3,28.9,1.4,13,10.9,20009955,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009955.pdf
josh-gottheimer,Josh Gottheimer,NJ05,UNH,Stock,Long,2022-06-21,2023-02-03,Closed,227,-1.1,10.9,-12,9.3,5.3,20021351,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021351.pdf
josh-gottheimer,Josh Gottheimer,NJ05,UNH,Stock,Long,2026-02-05,2026-09-14,Open · latest mark,221,45.6,12.9,32.8,37.8,29.2,20034130,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034130.pdf
richard-allen,Richard W. Allen,GA12,FDX,Stock,Long,2017-05-16,2019-04-09,Closed,693,-0.1,24.3,-24.4,7.3,4.1,20023082,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023082.pdf
josh-gottheimer,Josh Gottheimer,NJ05,SHPG,Stock,Long,2017-05-18,2018-05-07,Closed,354,-14.4,14.9,-29.3,-21.9,-26.7,20009955,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009955.pdf
david-joyce,David P. Joyce,OH14,VEA,Stock,Long,2017-05-18,2026-09-14,Open · latest mark,3406,131.2,271.6,-140.3,4.4,-0.4,20008517,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20008517.pdf
brenda-lawrence,Brenda Lulenar Lawrence,MI14,TWTR,Stock,Long,2017-05-24,2026-09-15,No price match,,,,,,,20007477,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20007477.pdf
josh-gottheimer,Josh Gottheimer,NJ05,IFNNY,Stock,Long,2017-05-30,2025-03-13,Closed,2844,79.9,159.6,-79.6,4.3,2.5,20009955,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009955.pdf
josh-gottheimer,Josh Gottheimer,NJ05,IFNNY,Stock,Long,2026-02-27,2026-03-12,Closed,13,-14.6,-2.9,-11.7,72.7,62.4,20034130,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034130.pdf
josh-gottheimer,Josh Gottheimer,NJ05,IFNNY,Stock,Long,2026-04-13,2026-09-14,Open · latest mark,154,21.4,11.2,10.2,62.3,52,20034585,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034585.pdf
bradley-schneider,Bradley S. Schneider,IL10,TDOC,Stock,Long,2017-06-04,2019-06-19,Closed,744,90.5,24.8,65.7,6.2,4.1,20009869,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009869.pdf
gary-palmer,Gary Palmer,AL06,EXPE,Stock,Long,2017-06-05,2026-09-14,Open · latest mark,3388,103.4,260.6,-157.2,0.5,-1.6,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
josh-gottheimer,Josh Gottheimer,NJ05,PCLN,Stock,Long,2017-06-08,2026-09-14,Open · latest mark,333,15.1,260.9,-245.7,,,20009955,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009955.pdf
bradley-schneider,Bradley S. Schneider,IL10,DXCM,Stock,Long,2017-06-20,2019-06-20,Closed,730,100,25.9,74.1,-11,-14.3,20009869,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009869.pdf
gary-palmer,Gary Palmer,AL06,CCP,Stock,Long,2017-06-26,2026-09-15,No price match,,,,,,,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,CVI,Stock,Long,2017-06-26,2026-09-14,Open · latest mark,3367,351,259.8,91.1,18.2,15.2,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
josh-gottheimer,Josh Gottheimer,NJ05,MKTX,Stock,Long,2019-02-22,2021-11-12,Closed,994,65.2,75.5,-10.2,22.2,20.7,20011343,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011343.pdf
david-joyce,David P. Joyce,OH14,AMZN,Stock,Long,2017-07-03,2026-09-14,Open · latest mark,3360,431.7,261.4,170.3,0.8,-3.4,20008517,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20008517.pdf
david-joyce,David P. Joyce,OH14,KMI,Stock,Long,2017-07-03,2026-09-14,Open · latest mark,3360,159.6,261.4,-101.8,-1.1,-5.4,20008517,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20008517.pdf
david-joyce,David P. Joyce,OH14,NKE,Stock,Long,2017-07-03,2026-09-14,Open · latest mark,3360,-27.7,261.4,-289.1,-11.3,-15.5,20008517,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20008517.pdf
david-joyce,David P. Joyce,OH14,UPS,Stock,Long,2017-07-03,2026-09-14,Open · latest mark,3360,33.7,261.4,-227.8,9.4,5.1,20008517,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20008517.pdf
john-rutherford,John Rutherford,FL04,ABB,Stock,Long,2017-07-11,2026-09-15,No price match,,,,,,,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
